,N_TH,WEIGHT_SIZE,EPOCHS,GRID_ROWS,GRID_COLS,N_INPUTS,T_1,T_P,SPEEDUP,EFFICIENCY,COST,LANG
19,4,10,10,10,100,10,10742000.818252563,17212126.49345398,0.6240949264658205,0.1560237316164551,68848505.97381592,py
20,1,10,10,10,100,100,107606983.9000702,107606983.9000702,1.0,1.0,107606983.9000702,py
21,2,10,10,10,100,100,107606983.9000702,206834116.4588928,0.5202574204988881,0.260128710249444,413668232.9177856,py
22,3,10,10,10,100,100,107606983.9000702,188508342.74291992,0.5708340667278596,0.1902780222426199,565525028.2287598,py
23,4,10,10,10,100,100,107606983.9000702,176682418.8232422,0.6090418311950047,0.1522604577987511,706729675.2929688,py
24,1,10,10,100,100,10,143722230.43441772,143722230.43441772,1.0,1.0,143722230.43441772,py
25,2,10,10,100,100,10,143722230.43441772,201987926.0063172,0.7115387205368049,0.3557693602684024,403975852.0126343,py
26,3,10,10,100,100,10,143722230.43441772,186802980.8998108,0.7693786776962684,0.2564595592320895,560408942.6994324,py
27,4,10,10,100,100,10,143722230.43441772,173794560.1940155,0.8269662196214511,0.2067415549053627,695178240.776062,py
28,1,10,10,100,100,100,1442375833.9881897,1442375833.9881897,1.0,1.0,1442375833.9881897,py
29,2,10,10,100,100,100,1442375833.9881897,2021392485.1417544,0.7135555537038816,0.3567777768519408,4042784970.283508,py
30,3,10,10,100,100,100,1442375833.9881897,1858675682.5447085,0.776023406091716,0.2586744686972387,5576027047.634125,py
0,1,10,10,10,10,10,50208.0,50208.0,1.0,1.0,50208.0,cpp
1,2,10,10,10,10,10,50208.0,55272.0,0.908380373425966,0.454190186712983,110544.0,cpp
2,3,10,10,10,10,10,50208.0,62735.0,0.800318801307085,0.266772933769028,188205.0,cpp
3,4,10,10,10,10,10,50208.0,58881.0,0.852702909257655,0.213175727314414,235524.0,cpp
4,1,10,10,10,10,100,668172.0,668172.0,1.0,1.0,668172.0,cpp
5,2,10,10,10,10,100,668172.0,474967.0,1.40677562862262,0.70338781431131,949934.0,cpp
6,3,10,10,10,10,100,668172.0,399657.0,1.67186362305677,0.557287874352257,1198971.0,cpp
7,4,10,10,10,10,100,668172.0,384496.0,1.73778660896342,0.434446652240856,1537984.0,cpp
8,1,10,10,100,10,10,373726.0,373726.0,1.0,1.0,373726.0,cpp
9,2,10,10,100,10,10,373726.0,299233.0,1.24894647314969,0.624473236574843,598466.0,cpp
10,3,10,10,100,10,10,373726.0,237891.0,1.57099680105595,0.523665600351982,713673.0,cpp
11,4,10,10,100,10,10,373726.0,203482.0,1.83665385636076,0.45916346409019,813928.0,cpp
12,1,10,10,100,10,100,3454397.0,3454397.0,1.0,1.0,3454397.0,cpp
13,2,10,10,100,10,100,3454397.0,2464400.0,1.401719282584,0.700859641291998,4928800.0,cpp
14,3,10,10,100,10,100,3454397.0,2283811.0,1.512558175786,0.504186058595333,6851433.0,cpp
15,4,10,10,100,10,100,3454397.0,2206275.0,1.56571460946618,0.391428652366545,8825100.0,cpp
16,1,10,10,10,100,10,401509.0,401509.0,1.0,1.0,401509.0,cpp
17,2,10,10,10,100,10,401509.0,320950.0,1.25100171366256,0.625500856831282,641900.0,cpp
18,3,10,10,10,100,10,401509.0,259215.0,1.54894199795537,0.516313999318455,777645.0,cpp
19,4,10,10,10,100,10,401509.0,215812.0,1.86045724982855,0.465114312457139,863248.0,cpp
20,1,10,10,10,100,100,3578219.0,3578219.0,1.0,1.0,3578219.0,cpp
21,2,10,10,10,100,100,3578219.0,2535050.0,1.41149839253664,0.705749196268318,5070100.0,cpp
22,3,10,10,10,100,100,3578219.0,2364280.0,1.51344976060365,0.50448325353455,7092840.0,cpp
23,4,10,10,10,100,100,3578219.0,2421735.0,1.47754357929336,0.369385894823339,9686940.0,cpp
24,1,10,10,100,100,10,3511638.0,3511638.0,1.0,1.0,3511638.0,cpp
25,2,10,10,100,100,10,3511638.0,2376952.0,1.47737017827874,0.738685089139368,4753904.0,cpp
26,3,10,10,100,100,10,3511638.0,2124145.0,1.65320069957559,0.551066899858531,6372435.0,cpp
27,4,10,10,100,100,10,3511638.0,1727779.0,2.03245785485296,0.508114463713241,6911116.0,cpp
28,1,10,10,100,100,100,38022667.0,38022667.0,1.0,1.0,38022667.0,cpp
29,2,10,10,100,100,100,38022667.0,23136037.0,1.64343906434797,0.821719532173985,46272074.0,cpp
